32
5
0 [[1, 30001, 30100], [2, 30002, 30200], [4, 30004, 30400], [8, 30008, 30800], [16, 30016, 31600]]
1 [[0, 30100, 30001], [3, 30103, 30301], [5, 30105, 30501], [9, 30109, 30901], [17, 30117, 31701]]
2 [[0, 30200, 30002], [3, 30203, 30302], [6, 30206, 30602], [10, 30210, 31002], [18, 30218, 31802]]
3 [[1, 30301, 30103], [2, 30302, 30203], [7, 30307, 30703], [11, 30311, 31103], [19, 30319, 31903]]
4 [[0, 30400, 30004], [5, 30405, 30504], [6, 30406, 30604], [12, 30412, 31204], [20, 30420, 32004]]
5 [[1, 30501, 30105], [4, 30504, 30405], [7, 30507, 30705], [13, 30513, 31305], [21, 30521, 32105]]
6 [[2, 30602, 30206], [4, 30604, 30406], [7, 30607, 30706], [14, 30614, 31406], [22, 30622, 32206]]
7 [[3, 30703, 30307], [5, 30705, 30507], [6, 30706, 30607], [15, 30715, 31507], [23, 30723, 32307]]
8 [[0, 30800, 30008], [9, 30809, 30908], [10, 30810, 31008], [12, 30812, 31208], [24, 30824, 32408]]
9 [[1, 30901, 30109], [8, 30908, 30809], [11, 30911, 31109], [13, 30913, 31309], [25, 30925, 32509]]
10 [[2, 31002, 30210], [8, 31008, 30810], [11, 31011, 31110], [14, 31014, 31410], [26, 31026, 32610]]
11 [[3, 31103, 30311], [9, 31109, 30911], [10, 31110, 31011], [15, 31115, 31511], [27, 31127, 32711]]
12 [[4, 31204, 30412], [8, 31208, 30812], [13, 31213, 31312], [14, 31214, 31412], [28, 31228, 32812]]
13 [[5, 31305, 30513], [9, 31309, 30913], [12, 31312, 31213], [15, 31315, 31513], [29, 31329, 32913]]
14 [[6, 31406, 30614], [10, 31410, 31014], [12, 31412, 31214], [15, 31415, 31514], [30, 31430, 33014]]
15 [[7, 31507, 30715], [11, 31511, 31115], [13, 31513, 31315], [14, 31514, 31415], [31, 31531, 33115]]
16 [[0, 31600, 30016], [17, 31617, 31716], [18, 31618, 31816], [20, 31620, 32016], [24, 31624, 32416]]
17 [[1, 31701, 30117], [16, 31716, 31617], [19, 31719, 31917], [21, 31721, 32117], [25, 31725, 32517]]
18 [[2, 31802, 30218], [16, 31816, 31618], [19, 31819, 31918], [22, 31822, 32218], [26, 31826, 32618]]
19 [[3, 31903, 30319], [17, 31917, 31719], [18, 31918, 31819], [23, 31923, 32319], [27, 31927, 32719]]
20 [[4, 32004, 30420], [16, 32016, 31620], [21, 32021, 32120], [22, 32022, 32220], [28, 32028, 32820]]
21 [[5, 32105, 30521], [17, 32117, 31721], [20, 32120, 32021], [23, 32123, 32321], [29, 32129, 32921]]
22 [[6, 32206, 30622], [18, 32218, 31822], [20, 32220, 32022], [23, 32223, 32322], [30, 32230, 33022]]
23 [[7, 32307, 30723], [19, 32319, 31923], [21, 32321, 32123], [22, 32322, 32223], [31, 32331, 33123]]
24 [[8, 32408, 30824], [16, 32416, 31624], [25, 32425, 32524], [26, 32426, 32624], [28, 32428, 32824]]
25 [[9, 32509, 30925], [17, 32517, 31725], [24, 32524, 32425], [27, 32527, 32725], [29, 32529, 32925]]
26 [[10, 32610, 31026], [18, 32618, 31826], [24, 32624, 32426], [27, 32627, 32726], [30, 32630, 33026]]
27 [[11, 32711, 31127], [19, 32719, 31927], [25, 32725, 32527], [26, 32726, 32627], [31, 32731, 33127]]
28 [[12, 32812, 31228], [20, 32820, 32028], [24, 32824, 32428], [29, 32829, 32928], [30, 32830, 33028]]
29 [[13, 32913, 31329], [21, 32921, 32129], [25, 32925, 32529], [28, 32928, 32829], [31, 32931, 33129]]
30 [[14, 33014, 31430], [22, 33022, 32230], [26, 33026, 32630], [28, 33028, 32830], [31, 33031, 33130]]
31 [[15, 33115, 31531], [23, 33123, 32331], [27, 33127, 32731], [29, 33129, 32931], [30, 33130, 33031]]
